文山區,臺北市文山區景興路177巷1~50號,39.11,10104,195.32,30500000,154738,17.6,3000000,305047,2765099,24.992874,121.545307
文山區,臺北市文山區景興路177巷1~50號,39.05,9909,195.44,31500000,160256,17.6,3000000,305041,2765106,24.992938,121.545248
文山區,臺北市文山區景興路177巷1~50號,16.5,9905,85.71,13520000,156287,8.8,1500000,305060,2765087,24.992766,121.545435
文山區,臺北市文山區指南路三段24巷1~50號,26.58,10107,76.38,8700000,113902,0,0,308482,2764052,24.983294,121.579289
文山區,臺北市文山區辛亥路四段77巷1~50號,88.21,10107,206.07,20000000,97054,58.75,0,306529,2766758,25.007797,121.560055
文山區,臺北市文山區政大二街101~150號,74.39,10108,154.9,14280000,92186,36.83,0,309081,2764775,24.989798,121.585253
文山區,臺北市文山區景興路1~50號,31.73,10107,115.07,15350000,133397,0,0,305025,2765616,24.997543,121.54511
文山區,臺北市文山區興隆路三段181巷51~100號,65.55,10107,251.31,35560000,156985,35.62,1700000,306784,2765494,24.996376,121.56253
文山區,臺北市文山區興隆路三段181巷51~100號,66.25,10107,287.54,38000000,157170,71.85,4100000,306776,2765501,24.99644,121.562451
松山區,臺北市松山區民生東路五段151~200號,6.73,10107,77.36,13800000,178394,0,0,306742,2772459,25.059257,121.5624
松山區,臺北市松山區南京東路五段351~400號,14.14,10106,127.86,19800000,154858,0,0,307475,2771619,25.051646,121.56963
松山區,臺北市松山區南京東路五段66巷1~50號,10.9,10107,57.35,11800000,205749,0,0,306588,2771481,25.050434,121.560834
文山區,興安段三小段101~150地號,50.49,10107,0,13750000,272331,0,0,305452,2765593,24.997319,121.549339
文山區,臺北市文山區育英街17巷1~50號,42.07,10108,88.91,12000000,134968,0,0,304362,2764820,24.99038,121.538511
文山區,臺北市文山區景興路282巷1~50號,4.5,10107,42.55,7260000,170611,0,0,304690,2764723,24.989493,121.541756
文山區,萬芳段三小段901~950地號,8.25,10108,0,142000,17212,0,0,306562,2764739,24.989569,121.5603
文山區,臺北市文山區秀明路一段101~150號,50,10107,196.75,19000000,96569,0,0,307285,2764911,24.991094,121.567468
松山區,臺北市松山區八德路三段106巷1~50號,8.84,10108,37.88,7300000,192724,0,0,305917,2771164,25.047597,121.554171
松山區,臺北市松山區民生東路五段36巷8弄51~100號,105.75,10106,127.82,33000000,258176,0,0,306562,2772213,25.057043,121.560606
文山區,臺北市文山區仙岩路22巷1~50號,26.03,10108,150.45,19000000,126286,36.58,0,305491,2765747,24.998708,121.549731
